Date,Product,Region,Sales,Quantity,Profit
11/01/2023,Wireless Mouse,East,1696.58,113,140.26
04/22/2023,Office Chair,WEST,292.32,2,70.56
04/27/2024,Webcam HD,West,390.95,9,75.43
2023-04-01,Laptop Pro,East,4094.6,5,805.89
2023-01-25,Webcam HD,West,532.38,12,
07.03.2023,Wireless Mouse,West,1155.32,76,73.73
10/04/2023,Desk Lamp,West,717.73,20,215.61
11/28/2023,Laptop Pro,West,5022.89,6,1021.75
2024-02-06,Wireless Mouse,North,1391.28,94,130.74
24.11.2023,Desk Lamp,East,599.96,18,135.21
11/15/2024,Monitor 27,West,2698.41,12,431.3
2023-12-07,Laptop Pro,west,9248.66,11,2120.66
2023-07-06,Desk Lamp,East,170.87,5,40.89
2024-09-11,Office Chair,South,720.29,5,198.54
2024-08-16,Office Chair,South,300.59,2,85.31
12/26/2023,Monitor 27,East,3071.88,14,615.33
2023-12-10,Monitor 27,North,1347.33,6,
14.03.2024,Wireless Mouse,West,1604.23,111,118.0
2024-09-16,Desk Lamp,West,500.09,15,176.6
2024-10-27,Webcam HD,East,588.57,13,103.47
2024-05-17,Office Chair,West,145.32,1,25.81
01/09/2023,Wireless Mouse,  North  ,260.15,18,16.91
11/01/2023,Wireless Mouse,East,1696.58,113,140.26
2024-05-20,Office Chair,North,,1,40.09
2024-10-17,Monitor 27,West,2200.76,10,381.91
03/02/2024,Laptop Pro,EAST,4090.41,5,726.97
25.10.2023,Monitor 27,East,2399.22,11,422.02
10/18/2023,Webcam HD,WEST,172.42,4,35.85
06.09.2024,Desk Lamp,South,70.08,2,18.89
2023-06-14,Office Chair,South,,2,81.67
08/04/2023,Desk Lamp,West,66.03,2,15.15
2024-04-12,Monitor 27,North,431.38,2,82.76
2023-02-15,Laptop Pro,East,845.3,1,179.94
22.08.2024,Wireless Mouse,East,1754.96,112,135.82
12.01.2023,Wireless Mouse,north,1096.97,77,82.64
2023-03-06,Monitor 27,West,1265.48,6,245.15
05/19/2023,Laptop Pro,west,869.83,1,209.89
09/28/2023,Office Chair,East,145.67,1,
13.05.2024,Office Chair,East,606.12,4,163.71
10/31/2024,Monitor 27,East,2642.31,12,477.38
2024-10-02,Laptop Pro,South,1735.21,2,
08.10.2023,Desk Lamp,South,2475.18,6,53.26
2023-08-11,Monitor 27,South,1515.85,7,188.88
2023-01-17,Desk Lamp,East,67.9,2,20.16
04/06/2024,Desk Lamp,East,176.6,5,53.44
2023-12-01,Wireless Mouse,West,935.35,67,
05/30/2024,Webcam HD,East,289.91,6,70.52
2023-12-14,Monitor 27,South,1788.65,8,285.04
13.10.2024,Laptop Pro,East,3097.62,4,637.03
2023-02-13,Laptop Pro,East,1704.7,2,337.35
12.09.2024,Monitor 27,East,220.21,1,40.92
2023-11-02,Monitor 27,West,,8,351.44
2023-02-04,Office Chair,West,6119.75,5,
19.07.2024,Monitor 27,NORTH,1738.51,8,290.97
06/07/2023,Office Chair,EAST,1150.87,8,278.88
2023-11-17,Wireless Mouse,South,1620.95,116,106.39
2024-04-13,Monitor 27,South,,5,187.67
2024-08-30,Wireless Mouse,East,944.38,62,70.31
2024-10-27,Laptop Pro,North,5890.03,7,1592.04
09/13/2023,Office Chair,East,911.98,6,240.67
2023-12-14,Desk Lamp,North,314.53,9,92.27
2024-12-05,Webcam HD,West,1180.03,26,272.99
2024-09-01,Webcam HD,North,534.69,12,119.81
2023-04-05,Monitor 27,East,2441.01,11,420.63
11/07/2024,Laptop Pro,West,,7,1205.28
2023-06-10,Monitor 27,North,1300.75,6,
11.05.2024,Monitor 27,West,850.44,4,161.31
2023-08-25,Monitor 27,North,679.8,3,106.82
22.04.2023,Monitor 27,East,1454.08,7,264.84
02/02/2023,Laptop Pro,West,2621.01,3,534.76
2024-09-21,Wireless Mouse,North,2006.31,128,151.67
10/25/2023,Webcam HD,  North  ,44.7,1,9.63
2024-02-16,Webcam HD,West,313.75,7,53.38
23.05.2024,Laptop Pro,South,3348.92,4,590.43
10/17/2024,Monitor 27,SOUTH,230.38,1,43.39
2023-12-31,Wireless Mouse,South,1369.24,89,117.95
2024-05-23,Webcam HD,East,407.83,9,83.86
2023-06-21,Office Chair,West,159.24,1,40.63
08.08.2023,Webcam HD,  West  ,487.59,11,83.65
2023-12-14,Desk Lamp,East,630.11,18,199.2
2024-04-27,Wireless Mouse,North,1717.0,113,138.38
03/26/2023,Wireless Mouse,West,1572.34,104,126.58
2024-06-17,Webcam HD,South,,8,64.12
2024-10-03,Webcam HD,East,135.95,3,32.45
2023-12-30,Office Chair,East,1199.37,8,267.37
2024-11-03,Office Chair,West,1110.91,7,343.07
03.04.2024,Webcam HD,North,223.71,5,51.03
2023-05-15,Webcam HD,West,675.44,15,161.05
03/14/2023,Webcam HD,South,224.4,5,44.9
25.08.2023,Laptop Pro,West,5121.15,6,1229.42
2024-09-11,Laptop Pro,West,2529.87,3,510.76
12/14/2024,Monitor 27,west,3052.53,14,
08/21/2024,Wireless Mouse,West,879.26,61,71.42
2024-12-01,Wireless Mouse,North,2280.87,153,138.6
11.05.2024,Monitor 27,West,850.44,4,161.31
2024-04-08,Laptop Pro,East,1788.09,2,320.97
2023-07-18,Office Chair,East,148.9,1,32.62
05.07.2023,Webcam HD,West,231.4,5,40.11
11/23/2024,Desk Lamp,West,294.4,9,88.7
18.10.2023,Office Chair,West,149.99,1,39.33
2023-02-01,Desk Lamp,NORTH,246.93,7,78.35
02/26/2024,Wireless Mouse,East,716.21,45,56.7
2023-12-20,Laptop Pro,North,5833.23,7,952.63
23.08.2024,Desk Lamp,East,161.53,5,47.08
2023-05-24,Webcam HD,West,526.82,12,113.15
06/26/2023,Wireless Mouse,West,1717.97,113,145.31
01/29/2023,Wireless Mouse,East,151.12,10,12.15
2024-12-01,Webcam HD,West,1078.52,25,253.81
05.05.2023,Laptop Pro,North,1686.41,2,381.35
05.12.2024,Webcam HD,WEST,384.93,9,
01/09/2024,Monitor 27,west,2044.47,9,384.19
01/24/2024,Wireless Mouse,East,1095.41,75,86.64
2024-05-27,Laptop Pro,north,859.32,1,202.96
2024-05-29,Laptop Pro,NORTH,,1,147.76
30.09.2023,Wireless Mouse,East,1590.95,105,148.77
2024-07-02,Office Chair,North,443.94,3,117.01
26.05.2023,Monitor 27,South,1619.5,7,243.16
02/12/2023,Laptop Pro,North,1711.38,2,404.37
12/17/2024,Desk Lamp,West,470.21,13,147.55
2023-08-18,Monitor 27,South,653.35,3,89.51
2024-07-23,Office Chair,East,448.01,3,133.35
22.01.2023,Webcam HD,West,140.5,3,28.96
2024-07-22,Monitor 27,East,1114.74,5,216.67
2024-01-22,Office Chair,North,602.88,4,170.19
2023-02-13,Webcam HD,South,270.43,6,54.09
2023-10-23,Office Chair,West,623.4,4,166.75
05.01.2023,Desk Lamp,  West  ,,20,300.41
2023-07-11,Monitor 27,West,648.69,3,114.44
2023-08-20,Monitor 27,West,1301.98,6,199.89
07/13/2024,Desk Lamp,West,351.37,10,115.83
12/10/2024,Office Chair,East,761.69,5,165.35
12/13/2024,Wireless Mouse,North,522.56,36,38.03
